product name,brand,price,number of colors,rating
'Pro Filt'r Soft Matte Longwear Foundation','FENTY BEAUTY by Rihanna',$34.00,49,4
'Translucent Loose Setting Powder','Laura Mercier',$23.00 - $39.00,3,4.5
'Diamond Bomb All-Over Diamond Veil','FENTY BEAUTY by Rihanna',$38.00,0,4.5
'Radiant Creamy Concealer','NARS',$13.00 - $30.00,32,4.5
'Photo Finish Pore Minimizing Primer','Smashbox',$15.00 - $39.00,0,3.5
'Double Wear Stay-in-Place Foundation','Estée Lauder',$42.00,55,4.5
'Ultra HD Invisible Cover Foundation','MAKE UP FOR EVER',$43.00,39,4
'CC+ Cream with SPF 50+','IT Cosmetics',$39.00,11,4
'All Nighter Long-Lasting Makeup Setting Spray','Urban Decay',$15.00 - $32.00,0,4.5
'Luminous Silk Foundation','Giorgio Armani Beauty',$42.00 - $64.00,43,4.5
'Prisme Libre Loose Powder','Givenchy',$40.00 - $60.00,6,4.5
'The Silk Canvas Protective Primer','Tatcha',$20.00 - $52.00,0,4
'Born This Way Foundation','Too Faced',$39.00,34,4
'Match Stix Matte Skinstick','FENTY BEAUTY by Rihanna',$25.00,19,4
'Your Skin But Better CC+ Kit! Pick Your CC+ & Drop IT In','IT Cosmetics',$40.00,0,4
'Original Loose Powder Mineral Foundation Broad Spectrum SPF 15','bareMinerals',$31.00,29,4.5
'Teint Idole Ultra Long Wear Foundation','Lancôme',$47.00,44,4.5
'Airbrush Flawless Finish Setting Powder','Charlotte Tilbury',$45.00,2,4
'Lock-It Foundation','Kat Von D',$18.00 - $36.00,70,4
'Unseen Sunscreen Broad Spectrum SPF 40','Supergoop!',$32.00,0,4.5
'Veil Mineral Primer','Hourglass',$20.00 - $75.00,0,4.5
'Tinted Moisturizer Broad Spectrum SPF 20','Laura Mercier',$24.00 - $46.00,16,4.5
'Sex On The Peach Complexion Set','Too Faced',$45.00,0,4.5
'Born This Way Super Coverage Multi-Use Sculpting Concealer','Too Faced',$13.00 - $29.00,22,4.5
'Natural Radiant Longwear Foundation','NARS',$49.00,33,3.5
'#FauxFilter Foundation','HUDA BEAUTY',$40.00,29,3.5
'Lock-It Finishing Powder','Kat Von D',$29.00,3,4.5
'Dior Airflash Spray Foundation','Dior',$62.00,17,4.5
'Photo Finish Foundation Primer','Smashbox',$15.00 - $36.00,0,4.5
'COMPLEXION RESCUE™ Tinted Moisturizer Broad Spectrum SPF 30','bareMinerals',$32.00,19,4
'CC+ Cream Oil-Free Matte with SPF 40','IT Cosmetics',$39.00,11,4
'Hydro Grip Primer','MILK MAKEUP',$15.00 - $30.00,0,4
'babassu foundcealer™ skincare foundation SPF 20','tarte',$39.00,29,4.5
'Pro Filt'r Instant Retouch Concealer','FENTY BEAUTY by Rihanna',$26.00,49,4
'Shimmering Skin Perfector® Pressed Highlighter','BECCA',$22.00 - $38.00,15,4.5
'Pro Filt'r Instant Retouch Setting Powder','FENTY BEAUTY by Rihanna',$18.00 - $32.00,11,4.5
'Amazonian Clay Full Coverage Foundation SPF 15','tarte',$39.00,39,4
'The POREfessional Face Primer','Benefit Cosmetics',$13.00 - $54.00,0,4
'Sheer Glow Foundation','NARS',$47.00,39,4
'Naked Skin Weightless Ultra Definition Liquid Foundation','Urban Decay',$40.00,25,4
'Tinted Face Oil Foundation','KOSAS',$42.00,9,4
'Tinted Moisturizer Broad Spectrum SPF 20 - Oil Free','Laura Mercier',$46.00,14,4.5
'Rose Gold 24K Skin Mist','FARSÁLI',$39.00,0,4.5
'Power Fabric Longwear High Cover Foundation SPF 25','Giorgio Armani Beauty',$64.00,30,4
'Banana Bright Face Primer','OLEHENRIKSEN',$36.00,0,4.5
'Killawatt Freestyle Highlighter','FENTY BEAUTY by Rihanna',$34.00,8,4.5
'Vanish™ Seamless Finish Foundation Stick','Hourglass',$46.00,31,4
'Matte Loose Powder Mineral Foundation Broad Spectrum SPF 15','bareMinerals',$31.00,29,4.5
'Match Stix Trio','FENTY BEAUTY by Rihanna',$54.00,3,4
'Veil™ Translucent Setting Powder','Hourglass',$20.00 - $46.00,0,4.5
'Pure Radiant Tinted Moisturizer Broad Spectrum SPF 30','NARS',$45.00,10,4.5
'Pro Filt'r Instant Retouch Primer','FENTY BEAUTY by Rihanna',$16.00 - $32.00,0,4
'BAREPRO Performance Wear Powder Foundation','bareMinerals',$31.00,28,4
'Lock-It Powder Foundation','Kat Von D',$36.00,25,4
'Magic Away Concealer','Charlotte Tilbury',$32.00,15,4
'Your Skin But Better™ CC+Illumination™ Cream with SPF 50+','IT Cosmetics',$39.00,11,4
'Soft Matte Complete Concealer','NARS',$30.00,15,4.5
'Matte Perfection Powder Foundation','SEPHORA COLLECTION',$20.00,34,4
'10 HR Wear Perfection Foundation','SEPHORA COLLECTION',$20.00,36,4
'Water Foundation Broad Spectrum SPF 15 - Rainforest of the Sea™ Collection','tarte',$39.00,29,4
'Dior Forever Skin Glow 24h* Wear Radiant Perfection Skin-Caring Foundation','Dior',$52.00,23,4.5
'Bye Bye Under Eye Full Coverage Anti-Aging Waterproof Concealer','IT Cosmetics',$26.00,47,4
'Vitamin Enriched Face Base Priming Moisturizer','Bobbi Brown',$20.00 - $60.00,0,4.5
'Smooth Finish Foundation Powder','Laura Mercier',$48.00,19,4.5
'Creaseless Under Eye Concealer','tarte',$26.00,29,3
'Touche Eclat High Cover Radiant Concealer','Yves Saint Laurent',$35.00,15,4.5
'Flawless Lumière Radiance-Perfecting Foundation','Laura Mercier',$48.00,29,4.5
'Peach Perfect Comfort Matte Foundation – Peaches and Cream Collection','Too Faced',$36.00,29,4.5
'CC Crème High Definition Radiance Face Cream Skin Perfector','Erborian',$44.00,2,4
'BACKSTAGE Face & Body Foundation','Dior',$40.00,39,4.5
'Cheek To Chic Blush','Charlotte Tilbury',$40.00,6,4.5
'Becca Primer Collection','BECCA',$39.00,0,4
'Mineral Veil Setting Powder','bareMinerals',$24.00,3,4.5
'Unicorn Essence Antioxidant Primer Serum','FARSÁLI',$22.00 - $54.00,0,4
'Hollywood Flawless Filter','Charlotte Tilbury',$44.00,6,4.5
'Custom Enhancer Drops','COVER FX',$42.00,6,4.5
'Easy Bake Loose Baking & Setting Powder','HUDA BEAUTY',$34.00,7,4
'Tinted Moisturizer SPF 20 - Illuminating','Laura Mercier',$46.00,3,4.5
'Naked Skin Weightless Complete Coverage Concealer','Urban Decay',$12.00 - $29.00,15,4
'BB Tinted Treatment 12-Hour Primer Broad Spectrum SPF 30 Sunscreen','tarte',$14.00 - $37.00,4,4.5
