product name,brand,price,number of colors/scent,rating
'Prep + Prime Fix+ Scents','MAC',$27.00,3,4.00
'Double Duty Beauty Shape Tape Contour Concealer','Tarte',$27.00,30,4.60
'Double Wear Stay In Place Makeup','Estée Lauder',$42.00,56,4.50
'Born This Way Ethereal Loose Setting Powder','Too Faced',$33.00,3,4.10
'Tarteist PRO Glow &amp; Blush Palette','Tarte',$45.00,0,4.80
'The POREfessional Face Primer','Benefit Cosmetics',$32.00,0,4.40
'Confidence in a Compact with SPF 50+','It Cosmetics',$38.00,7,4.10
'Bye Bye Pores Pressed Anti-Aging Finishing Powder','It Cosmetics',$29.00,0,4.30
'Backlight Priming Filter','BECCA',$39.00,0,4.50
'Photo Finish Primerizer','Smashbox',$42.00,0,4.40
'4-in-1 Pressed Mineral Powder Foundation SPF 15','PÜR',$29.50,11,4.50
'The Cali Contour Palette','Smashbox',$39.00,0,4.80
'La Base Pro Oil Free Primer ','Lancôme',$42.00,0,4.70
'CC+ Cream with SPF 50+','It Cosmetics',$39.00,12,4.30
'Bye Bye Pores Silk HD Anti-Aging Micro-Powder','It Cosmetics',$29.00,0,4.10
'Bye Bye Redness Neutralizing Correcting Cream','It Cosmetics',$32.00,3,4.50
'Face Tape Foundation','Tarte',$39.00,50,3.50
'Loose Setting Powder','Dermablend',$29.00,3,4.40
'First Light Priming Filter','BECCA',$39.00,0,4.50
'Born This Way Undetectable Medium-to-Full Coverage Foundation','Too Faced',$39.00,35,4.20
'HD Flour Setting Powder','Beauty Bakerie',$24.00,3,4.20
'Perfect Setting Powder','COVER FX',$35.00,2,4.20
'Continuous Setting Mist','Morphe',$16.00,0,4.50
'Bye Bye Lines Foundation','It Cosmetics',$38.00,7,3.90
'Amazonian Clay Full Coverage Foundation SPF 15','Tarte',$39.00,40,4.30
'Your Skin But Better CC+ Airbrush Perfecting Powder SPF50+','It Cosmetics',$35.00,0,4.30
'Ever-Matte Poreless Priming Perfector','BECCA',$39.00,0,3.90
'NikkieTutorials Highlighting Trio','Ofra Cosmetics',$29.00,0,4.50
'ORIGINAL Foundation Broad Spectrum SPF 15','BareMinerals',$31.00,30,4.70
'Custom Enhancer Drops','COVER FX',$42.00,7,4.40
'Flawless Creator Multi-Use Liquid Foundation Drops','Dermablend',$40.00,20,4.10
