A_id,B_id
1007,1259
101,70
101,164
1019,269
1019,1413
1019,106
1019,444
1028,311
1034,2608
1034,192
1037,59
1043,59
1049,110
1061,327
107,121
107,348
1079,2595
1079,129
1082,165
1091,107
1091,225
1094,174
1097,492
110,221
110,826
1103,222
1115,396
1121,69
113,135
1133,639
1139,76
1142,383
1142,354
1145,281
1163,303
1163,435
1166,32
1172,655
1178,597
1181,1030
1193,1452
1193,1057
1193,1200
1193,1122
1208,619
1235,145
1235,32
1268,690
1304,856
1310,459
1328,175
1334,873
1334,1135
1340,1064
1343,646
137,112
1376,891
1391,1134
1478,143
1481,63
1481,31
1496,79
1502,41
1511,114
152,110
1520,54
1523,153
1529,200
1562,361
1562,97
1568,2608
1568,192
1574,164
1574,70
1580,121
1580,348
1583,826
1583,221
1586,135
1610,112
1625,110
1637,7
164,7
1643,466
1643,199
1649,88
1649,237
1652,166
1655,150
1658,391
1658,1557
1658,162
1667,186
1670,305
1673,328
1673,383
170,466
170,199
1700,650
1709,385
1718,444
1718,269
1718,106
1721,178
1727,129
1727,2595
1730,274
1736,374
1751,95
1754,317
1757,43
176,88
176,237
1787,64
179,166
1793,197
1793,537
1799,21
1799,933
1808,69
1811,407
182,150
1826,322
1835,335
1835,180
1838,498
1838,721
185,391
185,162
185,1557
1880,981
1910,282
1916,473
1919,1100
1919,518
1928,208
1934,640
194,186
1940,995
1949,753
197,305
1976,627
1979,795
200,328
200,383
2009,170
2027,317
2033,536
2036,725
2039,294
2039,194
2039,579
2042,947
2048,848
2054,852
2069,763
2105,1233
2147,1096
2147,1598
2156,734
2171,86
2195,809
2195,98
2207,986
2207,972
2222,352
2231,778
2237,700
2258,630
2264,1060
227,650
2294,1239
23,79
2303,891
236,385
2369,431
245,106
245,444
245,269
248,178
254,129
254,2595
257,274
263,374
2732,116
278,95
281,317
284,43
29,41
3071,187
3092,217
3101,589
3104,447
3107,1149
3113,1101
314,64
320,197
320,537
326,933
326,21
335,69
338,407
353,322
362,335
362,180
365,498
365,721
38,114
407,981
437,282
443,473
446,1100
446,518
455,208
461,640
467,995
47,54
476,753
5,143
50,153
503,627
506,795
536,170
554,317
56,200
560,536
563,725
566,194
566,294
566,579
569,947
575,848
581,852
596,763
632,1233
674,1096
674,1598
683,734
698,86
722,98
722,809
734,972
734,986
749,352
758,778
764,700
785,630
791,1060
8,31
8,63
821,1239
830,891
89,97
89,361
896,431
95,2608
95,192
1008,1599
1020,78
1023,155
1032,145
1032,32
1038,405
105,156
1050,388
1062,2612
1062,203
1074,470
1077,444
1077,106
1077,269
1092,204
1098,513
111,41
111,75
1122,94
1128,1161
1134,198
1137,673
114,405
1143,799
1173,753
1176,477
1182,587
1191,795
1194,432
1206,901
1206,758
1218,325
123,255
1233,560
1281,81
1287,734
1296,86
1317,1219
1431,941
144,118
1476,60
1488,28
1497,73
15,28
1509,24
1512,53
153,152
1545,49
1548,29
