A_id,B_id
1007,1259
101,70
101,164
1019,269
1019,1413
1019,881
1019,106
1019,856
1019,444
1028,311
1034,2608
1034,192
1037,59
1043,59
1049,110
1058,626
1058,532
1058,782
1058,585
1058,209
1058,704
1058,674
1058,713
1061,198
1061,327
107,121
107,348
1079,2595
1079,129
1082,165
1091,107
1091,225
1094,174
1097,492
110,221
110,826
1103,222
1115,396
1121,195
1121,69
113,135
1133,639
1139,76
1142,383
1142,354
1142,328
1145,281
1163,891
1163,303
1163,4
1163,435
1163,2643
1163,2889
1166,32
1166,145
1172,655
1172,328
1172,155
1178,597
1181,1030
1193,1452
1193,1057
1193,1200
1193,1122
1208,619
1211,724
1211,875
1229,372
1235,145
1235,32
1268,325
1268,690
1292,119
1298,110
1298,1168
1304,856
1304,106
1304,444
1310,459
1325,470
1328,175
1334,873
1334,1135
1340,1064
1343,646
137,112
1370,146
1370,116
1376,891
1376,435
1391,1134
1406,2962
1478,291
1478,143
1478,2
1481,121
1481,345
1481,63
1481,31
1496,79
1502,75
1502,617
1502,41
1511,114
152,110
1520,64
1520,28
1520,54
1523,1277
1523,153
1529,200
1562,361
1562,97
1568,2608
1568,192
1574,164
1574,70
1580,121
1580,348
1583,826
1583,221
1586,135
1610,112
1625,110
1637,7
164,7
1643,466
1643,199
1649,88
1649,237
1652,166
1655,150
1658,391
1658,1557
1658,162
1661,209
1661,782
1661,585
1661,626
1661,704
1661,674
1661,713
1661,532
1667,186
1670,305
1673,354
1673,328
1673,383
1685,109
170,466
170,199
1700,650
1709,385
1718,444
1718,269
1718,106
1718,856
1718,881
1718,942
1721,178
1727,129
1727,2595
1730,274
1736,374
1748,656
1751,95
1751,486
1754,518
1754,1126
1754,285
1754,317
1754,871
1757,89
1757,100
1757,43
176,88
176,237
1787,64
1787,49
179,166
1790,7
1790,14
1793,197
1793,537
1793,118
1799,21
1799,933
1799,331
1808,195
1808,69
1811,407
182,150
1826,322
1835,335
1835,180
1838,498
1838,721
185,391
185,162
185,1557
1862,625
1871,96
1874,364
1874,143
188,674
188,585
188,626
188,782
188,532
188,713
188,209
188,704
1880,725
1880,769
1880,981
1910,282
1916,473
1919,536
1919,1100
1919,295
1919,1126
1919,871
1919,317
1919,472
1919,590
1919,612
1919,285
1919,518
1919,240
1925,421
1928,208
1934,640
194,186
1940,995
1949,753
197,305
1976,627
1979,1050
1979,795
1979,1000
200,328
200,354
200,383
2009,170
2027,317
2027,285
2027,9
2027,518
2027,871
2033,295
2033,518
2033,240
2033,536
2036,725
2036,981
2036,769
2036,746
2039,294
2039,194
2039,579
2042,947
2048,848
2054,852
2069,763
2078,106
2078,881
2078,1413
2105,1233
2105,1137
212,109
2147,1096
2147,1598
2156,734
2156,603
2171,86
2174,110
2174,1168
2195,809
2195,5
2195,98
2195,738
2207,986
2207,972
2222,352
2231,56
2231,778
2237,700
2237,802
2237,611
2258,630
2264,1060
227,650
