id1,id2,label
101,164,1
1019,106,1
1019,444,0
1028,311,1
1043,59,1
1049,110,1
1058,532,0
1079,2595,1
1115,396,1
1133,639,1
1142,383,1
1145,281,1
1208,619,1
1268,325,0
1334,1135,1
1370,116,0
1376,891,1
1406,2962,0
1478,291,0
1478,143,0
1502,41,1
1520,64,0
1520,54,0
1523,153,1
1529,200,1
1568,2608,1
1574,164,0
1580,348,1
1610,112,1
1625,110,1
1643,466,1
1655,150,1
1670,305,1
1673,354,0
1673,383,0
170,466,1
1700,650,1
1718,942,0
1721,178,1
1727,129,1
1757,89,0
1757,100,0
176,237,0
179,166,1
1790,14,0
1793,537,1
185,162,1
185,1557,1
1862,625,1
1874,364,1
1874,143,0
188,626,1
1880,725,0
1919,612,1
1919,518,1
1949,753,1
1979,1000,0
2027,285,0
2027,518,0
2033,518,0
2033,536,1
2036,746,0
2042,947,1
2069,763,1
2078,106,0
212,109,1
2156,603,0
2222,352,1
2237,700,1
227,650,1
2294,1239,1
2354,270,0
2366,2962,0
245,856,0
245,106,0
245,881,0
245,942,0
245,444,1
2450,434,1
2456,716,1
254,129,1
257,274,1
2732,116,1
2732,146,0
278,486,0
281,518,0
281,317,1
2813,2608,0
2813,192,0
29,41,1
29,75,0
317,7,0
320,118,0
320,197,1
326,331,0
353,322,1
362,180,1
437,282,1
446,317,1
455,208,1
476,753,1
506,1050,0
554,317,0
554,9,0
554,871,0
554,518,0
560,536,1
560,240,0
563,769,0
563,746,0
566,194,0
566,579,1
581,852,1
674,1096,1
698,86,1
734,986,0
758,778,0
8,121,0
8,31,1
821,291,0
830,435,0
893,2962,0
1008,1599,1
1020,234,1
105,722,0
1050,388,1
1062,2612,1
1077,856,0
1077,881,0
1092,204,1
1098,513,1
1122,94,1
114,405,1
1173,753,1
1176,477,1
1194,432,1
1206,758,1
123,255,1
1233,560,1
1296,86,1
147,697,0
1503,13,0
1512,58,0
153,895,0
1545,89,0
1545,64,0
1551,796,1
1560,387,1
1566,74,1
1617,118,1
1620,697,0
1659,143,1
1659,2,0
1680,55,1
1686,194,0
1710,9,0
1710,317,0
1728,463,1
1740,590,1
1740,1126,0
1740,472,0
1770,1160,0
1815,194,0
1830,288,1
1869,76,1
1875,107,0
1926,725,0
1947,655,1
1947,328,0
1956,40,1
1956,98,0
1956,5,0
1980,2785,1
204,670,1
2055,403,1
207,25,1
2088,1020,0
2115,917,1
2124,325,0
2124,690,1
2151,1233,0
2235,1106,1
2238,894,1
2316,1057,0
2325,1134,1
237,518,0
237,317,0
2379,895,1
2400,409,0
2442,37,0
2442,245,0
249,774,0
249,425,1
249,163,1
2499,192,1
252,697,0
2523,758,1
267,472,0
267,395,0
2853,175,1
297,275,1
300,291,1
3084,363,1
3084,823,1
324,121,0
324,31,1
336,242,0
336,280,1
342,579,1
342,294,1
387,70,0
39,53,0
441,1606,0
450,1606,0
453,725,0
453,981,0
507,2785,1
561,420,0
582,21,0
609,114,0
615,69,0
615,1020,0
651,325,0
669,697,1
681,285,0
72,49,0
75,29,1
762,1106,1
765,894,1
843,1057,0
927,1006,1
1003,1161,0
1021,93,1
1054,901,0
1054,1131,0
1054,964,0
109,168,1
1099,503,1
1117,367,1
1183,116,0
1225,603,1
1252,69,0
1285,2608,0
1285,192,0
1294,1013,1
1300,145,1
1300,32,0
1405,1061,1
1477,590,0
1501,590,0
1507,881,0
1507,269,1
1507,444,0
1510,809,0
1525,65,1
1528,51,1
1594,176,1
16,498,0
16,245,0
1633,50,0
1645,245,1
1645,37,0
1675,472,0
1675,295,1
1714,8,0
1732,583,0
1732,1100,0
1732,590,0
1762,503,1
1768,177,0
1786,315,0
1792,662,1
1804,396,1
1810,297,0
1852,575,0
1858,327,0
1882,281,1
1915,297,0
193,327,1
1930,4,0
1930,303,1
1930,891,0
1945,527,1
1954,275,0
1963,433,1
1981,596,0
1981,804,0
1981,668,1
199,125,1
1993,34,1
2002,638,1
202,295,1
202,612,1
202,240,0
2041,37,0
2050,1006,0
2074,611,1
2080,547,1
2086,313,1
2155,572,1
2230,802,1
2347,1458,1
2365,1061,1
241,18,1
241,1054,0
2428,305,0
250,26,1
259,583,0
259,590,0
2692,116,0
28,285,0
28,590,0
28,1100,0
2869,2719,0
3070,80,1
3070,760,0
3076,277,1
3085,1182,0
3091,1449,1
3106,1491,0
313,315,0
313,231,0
313,541,0
337,297,0
340,1452,0
340,1057,0
340,1200,0
37,5,1
37,127,1
379,575,0
385,327,0
397,406,1
4,536,0
433,358,1
472,527,1
490,433,1
52,65,1
526,984,1
535,875,1
547,439,1
55,51,1
550,400,1
577,409,1
751,745,1
760,1064,1
769,646,1
79,141,1
97,56,1
1171,995,1
1799,933,1
1637,7,1
1481,31,1
1744,3,0
1704,11,1
1128,1161,1
1582,168,1
1583,826,1
1061,208,0
1206,964,0
1317,758,0
1478,291,0
1545,64,0
2869,2719,0
2364,205,1
1875,107,0
1339,56,0
1206,1131,0
1915,297,0
312,685,0
1843,484,1
237,518,0
1528,51,1
1099,503,1
1855,732,1
1637,372,0
1488,54,0
1163,4,1
1002,567,0
1507,881,0
2078,881,0
415,248,1
1659,143,1
2298,668,0
2041,37,1
2156,603,0
1747,621,0
2029,801,1
16,37,1
556,801,1
1477,612,0
1520,65,0
1637,14,0
1787,100,0
2336,984,0
28,612,0
314,181,1
417,1054,0
47,65,0
521,550,1
72,181,1
